id,namaHadiah,pointCost,foto_path,stock,description,kategori,color,size
H001,boneka,100,src/database/image/pointmart/boneka.jpg,10,Boneka lucu untuk anak-anak,Mainan,"[""#e0e0e0"", ""#888888"", ""#000000"", ""#7dd3c0"", ""#c5b3e6""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""2XL""]"
H002,sapu,50,src/database/image/pointmart/sapu.jpg,20,Sapu untuk membersihkan halaman,Peralatan Rumah,"[""#e0e0e0"", ""#888888"", ""#000000"", ""#7dd3c0"", ""#c5b3e6""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""2XL""]"
H003,tas,200,src/database/image/pointmart/tas.jpg,5,Tas ransel untuk sekolah,Aksesoris,"[""#e0e0e0"", ""#888888"", ""#000000"", ""#7dd3c0"", ""#c5b3e6""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""2XL""]"
H004,botol minum,75,src/database/image/pointmart/botol_minum.jpg,15,Botol minum tahan panas dan dingin,Peralatan Rumah,"[""#e0e0e0"", ""#888888"", ""#000000"", ""#7dd3c0"", ""#c5b3e6""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""2XL""]"
H005,topi,120,src/database/image/pointmart/topi.jpg,8,Topi stylish untuk aktivitas outdoor,Aksesoris,"[""#e0e0e0"", ""#888888"", ""#000000"", ""#7dd3c0"", ""#c5b3e6""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""2XL""]"
H006,kacamata hitam,150,src/database/image/pointmart/kacamata_hitam.jpg,12,Kacamata hitam untuk melindungi mata dari sinar UV,Aksesoris,"[""#e0e0e0"", ""#888888"", ""#000000"", ""#7dd3c0"", ""#c5b3e6""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""2XL""]"
H007,sepatu olahraga,300,src/database/image/pointmart/sepatu_olahraga.jpg,6,Sepatu olahraga nyaman untuk berlari dan berolahraga,Pakaian,"[""#e0e0e0"", ""#888888"", ""#000000"", ""#7dd3c0"", ""#c5b3e6""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""2XL""]"
H008,jaket,250,src/database/image/pointmart/jaket.jpg,10,Jaket hangat untuk musim dingin,Pakaian,"[""#e0e0e0"", ""#888888"", ""#000000"", ""#7dd3c0"", ""#c5b3e6""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""2XL""]"
H009,headphone,180,src/database/image/pointmart/headphone.jpg,9,Headphone berkualitas tinggi untuk mendengarkan musik,Elektronik,"[""#e0e0e0"", ""#888888"", ""#000000"", ""#7dd3c0"", ""#c5b3e6""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""2XL""]"
H010,power bank,220,src/database/image/pointmart/power_bank.jpg,7,Power bank dengan kapasitas besar untuk mengisi daya perangkat elektronik,Elektronik,"[""#e0e0e0"", ""#888888"", ""#000000"", ""#7dd3c0"", ""#c5b3e6""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""2XL""]"
H011,flashdisk,90,src/database/image/pointmart/flashdisk.jpg,25,Flashdisk dengan kapasitas penyimpanan besar,Elektronik,"[""#e0e0e0"", ""#888888"", ""#000000"", ""#7dd3c0"", ""#c5b3e6""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""2XL""]"
H012,mouse wireless,130,src/database/image/pointmart/mouse_wireless.jpg,14,Mouse wireless ergonomis untuk kenyamanan penggunaan,Elektronik,"[""#e0e0e0"", ""#888888"", ""#000000"", ""#7dd3c0"", ""#c5b3e6""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""2XL""]"
H013,keyboard mechanical,350,src/database/image/pointmart/keyboard_mechanical.jpg,4,Keyboard mechanical dengan respons cepat untuk gaming,Elektronik,"[""#e0e0e0"", ""#888888"", ""#000000"", ""#7dd3c0"", ""#c5b3e6""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""2XL""]"
H014,smartwatch,400,src/database/image/pointmart/smartwatch.jpg,3,Smartwatch dengan berbagai fitur kesehatan dan kebugaran,Elektronik,"[""#e0e0e0"", ""#888888"", ""#000000"", ""#7dd3c0"", ""#c5b3e6""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""2XL""]"
H015,kamera aksi,500,src/database/image/pointmart/kamera_aksi.jpg,2,Kamera aksi tahan air untuk merekam petualangan outdoor,Elektronik,"[""#e0e0e0"", ""#888888"", ""#000000"", ""#7dd3c0"", ""#c5b3e6""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""2XL""]"
